_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos;MGPS;E
242.3750833;-52.259138899999996;16 09 30.02;1.5;-52 15 32.9;1.7;699.8;21.3;1449.4;54.0;90.8;59.4;15.0;71.4;37.3; 19.8;J1600M52;1;229.4;483.1;J160930-521532;0.0
242.458375;-53.1415;16 09 50.01;1.5;-53 08 29.4;1.7;546.1;16.5;592.9;17.9;57.1;50.1;147.5;0.0;0.0;     ;J1600M52;1;222.5;255.2;J160950-530829;0.0
242.59125;-39.982805600000006;16 10 21.90;1.5;-39 58 58.1;1.7;440.9;13.3;441.0;13.3;70.0;45.5;174.0;0.0;0.0;     ;J1600M40;2;55.4;451.5;J161021-395858;1.0
242.661375;-45.5776389;16 10 38.73;1.5;-45 34 39.5;1.7;676.3;20.4;682.6;20.6;64.8;51.2;48.1;0.0;0.0;     ;J1600M44;2;95.6;124.6;J161038-453439;0.0
242.7268333;-45.5130556;16 10 54.44;1.5;-45 30 47.0;1.7;761.3;22.9;761.4;22.9;64.8;45.0;178.1;0.0;0.0;     ;J1600M44;2;79.9;138.9;J161054-453047;0.0
242.9499167;-55.14927779999999;16 11 47.98;1.5;-55 08 57.4;1.7;470.5;14.2;518.9;15.6;54.3;51.9;123.6;0.0;0.0;     ;J1624M56;2;1275.1;805.4;J161147-550857;0.0
243.178875;-39.111972200000004;16 12 42.93;1.5;-39 06 43.1;1.7;451.8;13.7;470.2;14.2;70.0;49.9;117.7;0.0;0.0;     ;J1620M40;1;1167.4;637.8;J161242-390643;1.0
243.241625;-57.612888899999994;16 12 57.99;1.5;-57 36 46.4;1.7;604.9;18.2;725.2;21.8;54.3;54.1;82.6;0.0;0.0;     ;J1624M56;2;1188.4;139.4;J161257-573646;0.0
243.3205;-48.11125;16 13 16.92;1.5;-48 06 40.5;1.7;958.4;28.8;958.6;28.8;60.6;45.6;9.1;0.0;0.0;     ;J1620M48;1;1071.9;494.0;J161316-480640;0.0
243.43341669999998;-42.427916700000004;16 13 44.02;1.5;-42 25 40.5;1.7;1268.0;38.1;1319.0;39.6;64.8;55.9;142.5;0.0;0.0;     ;J1620M44;1;1083.4;844.9;J161344-422540;0.0
243.6141667;-52.6700833;16 14 27.40;1.5;-52 40 12.3;1.7;1514.0;45.5;1580.0;47.5;59.3;45.4;174.7;0.0;0.0;     ;J1624M52;1;1178.4;377.1;J161427-524012;0.0
243.6319583;-56.37922220000001;16 14 31.67;1.5;-56 22 45.2;1.7;2237.0;67.1;2306.0;69.2;54.3;50.2;48.7;0.0;0.0;     ;J1624M56;3;1134.0;476.0;J161431-562245;0.0
243.637375;-42.2405;16 14 32.97;1.5;-42 14 25.8;1.7;500.7;15.2;603.6;18.3;64.8;57.3;64.3;0.0;0.0;     ;J1620M44;1;1035.1;888.1;J161432-421425;0.0
243.6756667;-44.4122222;16 14 42.16;1.5;-44 24 44.0;1.7;1618.0;48.6;1623.0;48.7;64.8;52.0;155.9;0.0;0.0;     ;J1620M44;1;1014.6;394.6;J161442-442444;0.0
243.71466669999998;-43.6891667;16 14 51.52;1.5;-43 41 21.0;1.7;714.4;21.5;846.1;25.4;64.8;54.2;76.6;0.0;0.0;     ;J1620M44;1;1009.2;559.0;J161451-434121;0.0
243.76016669999998;-49.8440833;16 15 02.44;1.5;-49 50 38.7;1.7;1212.0;36.5;2534.0;93.2;75.7;75.3;94.8;60.9;44.8; 90.2;J1620M48;1;966.6;74.0;J161502-495038;0.0
243.95866669999998;-63.557083299999995;16 15 50.08;1.5;-63 33 25.5;1.7;974.2;29.3;1384.1;49.8;65.1;49.4;111.2;46.4;0.0;106.9;J1600M64;2;128.5;748.2;J161550-633325;1.0
244.32370830000002;-58.8015833;16 17 17.69;1.5;-58 48 05.7;1.7;3023.0;90.7;3102.0;93.1;52.0;46.2;97.2;0.0;0.0;     ;J1630M60;1;1243.2;939.4;J161717-584805;1.0
244.53916669999998;-39.30269439999999;16 18 09.40;1.5;-39 18 09.7;1.7;1387.0;41.7;1448.0;43.5;70.0;56.4;139.0;0.0;0.0;     ;J1620M40;1;821.7;600.5;J161809-391809;1.0
244.7211667;-47.6064722;16 18 53.08;1.5;-47 36 23.3;1.7;472.1;14.2;472.1;14.2;60.6;45.6;172.6;0.0;0.0;     ;J1620M48;1;766.5;619.6;J161853-473623;0.0
244.7305417;-59.1765;16 18 55.33;1.5;-59 10 35.4;1.7;811.3;24.4;1358.3;53.6;71.4;55.4;33.8;51.5;27.9; 43.5;J1630M60;1;1169.2;836.0;J161855-591035;1.0
244.7739583;-59.3904167;16 19 05.75;1.5;-59 23 25.5;1.7;556.0;16.8;713.0;32.1;59.3;50.9;159.5;31.6;19.7;136.2;J1630M60;1;1159.1;775.7;J161905-592325;1.0
244.84675;-50.1552778;16 19 23.22;1.5;-50 09 19.0;1.7;782.9;23.9;1095.6;43.5;63.6;57.1;69.0;44.3;0.0; 81.9;J1624M52;1;946.8;1030.1;J161923-500919;0.0
244.9595;-45.8521389;16 19 50.28;1.5;-45 51 07.7;1.7;2024.0;60.8;2025.0;60.8;64.8;45.0;0.0;0.0;0.0;     ;J1620M44;1;714.2;69.0;J161950-455107;0.0
245.11241669999998;-36.383;16 20 26.98;1.5;-36 22 58.8;1.7;947.7;28.5;947.9;28.5;76.6;56.8;20.3;0.0;0.0;     ;J1612M36;2;148.6;337.8;J162026-362258;1.0
245.2233333;-53.97527779999999;16 20 53.60;1.5;-53 58 31.0;1.7;590.4;17.8;646.7;19.5;54.3;49.4;85.2;0.0;0.0;     ;J1624M56;2;854.5;1133.5;J162053-535831;0.0
245.314375;-36.1935278;16 21 15.45;1.5;-36 11 36.7;1.7;1357.0;40.8;1357.0;40.8;76.6;50.0;11.1;0.0;0.0;     ;J1612M36;2;93.9;373.5;J162115-361136;1.0
245.4892083;-47.5130833;16 21 57.41;1.5;-47 30 47.1;1.7;453.0;13.7;471.6;14.3;60.6;49.9;120.7;0.0;0.0;     ;J1620M48;1;596.9;642.2;J162157-473047;0.0
245.49795830000002;-40.059972200000004;16 21 59.51;1.5;-40 03 35.9;1.7;1389.0;41.7;1419.0;42.6;70.0;52.8;129.7;0.0;0.0;     ;J1620M40;1;580.3;441.2;J162159-400335;1.0
245.50904169999998;-43.1362222;16 22 02.17;1.5;-43 08 10.4;1.7;2093.0;62.9;2474.0;74.3;64.8;57.5;131.3;0.0;0.0;     ;J1620M44;1;583.4;686.1;J162202-430810;0.0
245.5229583;-43.1425;16 22 05.51;1.5;-43 08 33.0;1.7;840.3;25.4;866.4;26.1;66.5;45.5;5.2;0.0;0.0;     ;J1620M44;1;580.1;684.7;J162205-430833;0.0
245.94304169999998;-56.75425;16 23 46.33;1.5;-56 45 15.3;1.7;1263.0;37.9;1308.0;39.3;55.0;46.4;161.8;0.0;0.0;     ;J1624M56;1;715.2;380.4;J162346-564515;0.0
246.1697083;-53.19775;16 24 40.73;1.5;-53 11 51.9;1.7;504.3;15.3;504.4;15.3;57.1;50.6;138.0;0.0;0.0;     ;J1624M52;1;671.7;247.1;J162440-531151;0.0
246.262125;-51.4053889;16 25 02.91;1.5;-51 24 19.4;1.7;597.4;18.1;613.5;18.6;57.1;47.3;110.1;0.0;0.0;     ;J1624M52;1;651.5;709.3;J162502-512419;0.0
246.50183330000002;-48.31030560000001;16 26 00.44;1.5;-48 18 37.1;1.7;671.1;20.2;734.4;22.2;61.2;49.9;17.0;0.0;0.0;     ;J1620M48;1;378.1;446.2;J162600-481837;0.0
246.71083330000002;-42.191;16 26 50.60;1.5;-42 11 27.6;1.7;617.5;18.7;950.3;35.5;76.7;61.8;131.5;57.7;0.0;110.1;J1620M44;1;290.2;898.2;J162650-421127;0.0
