_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
28.089375;-55.6736667;01 52 21.45;1.5;-55 40 25.20;1.7;1283.0;38.5;1283.0;38.5;54.3;46.3;116.7;0.0;0.0;     ;J0200M56;1;1057.5;669.5
28.292791700000002;-33.17355560000001;01 53 10.27;1.5;-33 10 24.80;1.7;1312.0;39.4;1313.0;39.5;84.9;45.0;179.3;0.0;0.0;     ;J0148M32;1;350.9;169.4
28.9040833;-40.8121667;01 55 36.98;1.5;-40 48 43.80;1.7;2373.0;71.2;2426.0;72.8;70.0;47.2;107.4;0.0;0.0;     ;J0200M40;1;976.4;282.1
29.1972917;-36.2694167;01 56 47.35;1.5;-36 16 09.90;1.7;2011.0;60.4;2035.0;61.1;76.6;58.6;40.4;0.0;0.0;     ;J0206M36;2;1312.4;359.0
29.969833299999998;-74.5162222;01 59 52.76;1.5;-74 30 58.40;1.7;1659.0;49.8;1738.0;52.2;47.7;45.9;26.6;0.0;0.0;     ;J0130M76;2;54.2;1115.1
30.004166700000003;-48.242638899999996;02 00 01.00;1.5;-48 14 33.50;1.7;2076.0;62.3;2325.0;69.8;60.6;50.4;91.8;0.0;0.0;     ;J0200M48;1;704.1;465.0
30.0505417;-30.890416700000003;02 00 12.13;1.5;-30 53 25.50;1.7;5531.0;166.0;5597.0;168.0;84.9;48.7;66.2;0.0;0.0;     ;J0206M32;1;1112.0;565.0
30.5585;-76.3350833;02 02 14.04;1.5;-76 20 06.30;1.7;3779.0;113.4;4564.0;179.2;51.7;48.7;84.7;25.5;0.0; 86.3;J0215M76;2;951.6;571.1
30.919625;-43.8303333;02 03 40.71;1.5;-43 49 49.20;1.7;3953.0;118.6;4245.0;127.4;64.8;56.5;36.2;0.0;0.0;     ;J0200M44;1;487.9;527.7
30.976791700000003;-68.78322220000001;02 03 54.43;1.5;-68 46 59.60;1.7;1165.0;35.0;1233.0;37.0;49.9;46.5;147.3;0.0;0.0;     ;J0224M68;2;1299.2;393.9
32.692;-51.0172778;02 10 46.08;1.5;-51 01 02.20;1.7;3370.0;101.1;3371.0;101.1;57.1;45.0;87.9;0.0;0.0;     ;J0200M52;2;151.0;801.3
32.85275;-61.937305599999995;02 11 24.66;1.5;-61 56 14.30;1.7;1331.0;40.0;1377.0;41.4;52.0;48.9;49.9;0.0;0.0;     ;J0200M60;2;266.0;53.8
33.0452917;-44.6016667;02 12 10.87;1.5;-44 36 06.00;1.7;1206.0;36.2;1233.0;37.0;64.8;56.2;37.2;0.0;0.0;     ;J0220M44;1;1160.4;349.5
33.863;-31.362611100000002;02 15 27.12;1.5;-31 21 45.40;1.7;1483.0;44.6;1483.0;44.6;84.9;45.0;1.1;0.0;0.0;     ;J0224M32;2;1302.1;481.4
34.0945;-30.16;02 16 22.68;1.5;-30 09 36.00;1.7;1137.0;34.2;1269.0;38.2;84.9;53.1;68.6;0.0;0.0;     ;J0224M32;1;1244.1;690.5
34.2890417;-57.3046111;02 17 09.37;1.5;-57 18 16.60;1.7;1306.0;39.2;1324.0;39.7;54.3;49.2;145.9;0.0;0.0;     ;J0224M56;1;1007.4;228.0
34.7601667;-36.429055600000005;02 19 02.44;1.5;-36 25 44.60;1.7;1156.0;34.8;1208.0;36.3;76.6;63.5;146.9;0.0;0.0;     ;J0224M36;1;1031.5;331.2
34.950375;-36.7204167;02 19 48.09;1.5;-36 43 13.50;1.7;1260.0;37.9;1317.0;39.6;76.6;52.5;123.8;0.0;0.0;     ;J0224M36;1;980.3;275.5
35.0340833;-70.37438890000001;02 20 08.18;1.5;-70 22 27.80;1.7;3103.0;93.1;3189.0;95.7;48.1;45.6;150.7;0.0;0.0;     ;J0215M72;1;563.9;1174.5
35.240375;-38.550861100000006;02 20 57.69;1.5;-38 33 03.10;1.7;1280.0;38.4;1584.0;47.6;70.0;57.6;109.4;0.0;0.0;     ;J0220M40;1;643.5;758.8
