_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
129.2967917;-19.865527800000002;083711-195155;08 37 11.23;-19 51 55.9;0.03;0.6;4742.6;142.3;<;17.2;<;15.4;
130.19875;13.2066389;084047+131223;08 40 47.70;+13 12 23.9;0.03;0.6;2613.0;78.4;<;19.5;<;17.1;
133.251125;-20.7906389;085300-204726;08 53 00.27;-20 47 26.3;0.03;0.6;2292.0;80.9;;14.2;<;16.9;P*
133.2867917;13.882027800000001;085308+135255;08 53 08.83;+13 52 55.3;0.03;0.6;2364.3;70.9;<;19.2;<;18.3;
133.6639583;14.097805599999997;085439+140552;08 54 39.35;+14 05 52.1;0.03;0.6;2163.8;64.9;<;19.0;<;17.4;
134.6729583;14.162166699999998;085841+140943;08 58 41.51;+14 09 43.8;0.03;0.6;2370.8;71.1;<;19.8;<;16.9;
135.448375;-25.9220556;090147-255519;09 01 47.61;-25 55 19.4;0.03;0.6;6252.7;200.4;;48.1;<;19.2;P*
135.57020830000002;-14.258444400000002;090216-141530;09 02 16.85;-14 15 30.4;0.03;0.6;2898.1;86.9;<;18.7;<;17.5;
137.38970830000002;42.8965;090933+425347;09 09 33.53;+42 53 47.4;0.04;0.6;4233.8;127.0;<;16.8;<;13.9;P*
139.5240833;-12.094805599999999;091805-120541;09 18 05.78;-12 05 41.3;0.03;0.6;40849.9;1278.8;;62.4;<;19.5;P*
140.69316669999998;-39.9927778;092246-395934;09 22 46.36;-39 59 34.0;0.04;0.6;2614.7;92.3;;14.2;<;18.0;P*
141.76266669999998;39.0390833;092703+390220;09 27 03.04;+39 02 20.7;0.04;0.6;2884.6;86.5;<;16.1;<;15.9;
145.5639583;13.763777800000002;094215+134549;09 42 15.35;+13 45 49.6;0.03;0.6;3336.4;100.1;<;19.5;<;16.9;
145.9035833;-8.3255556;094336-081932;09 43 36.86;-08 19 32.0;0.03;0.6;2756.2;97.3;;14.2;<;17.2;
146.0683333;9.772;094416+094619;09 44 16.40;+09 46 19.2;0.03;0.6;2393.7;78.6;;38.1;<;15.2;P*
146.91408330000002;7.417972200000001;094739+072504;09 47 39.38;+07 25 04.7;0.03;0.6;2280.0;77.3;;58.1;;24.3;P*
146.9469583;7.4205;094747+072513;09 47 47.27;+07 25 13.8;0.03;0.6;3109.1;99.9;;80.1;;35.2;S*
146.96670830000002;7.421638900000001;094752+072517;09 47 52.01;+07 25 17.9;0.03;0.6;2227.9;77.8;;17.9;<;13.9;P*
147.544875;14.332583300000001;095010+141957;09 50 10.77;+14 19 57.3;0.03;0.6;3711.6;117.7;;53.7;<;15.2;P*
147.995125;-0.0241111;095158-000126;09 51 58.83;-00 01 26.8;0.03;0.6;3152.1;94.6;<;19.2;<;16.9;
150.4447083;28.782361100000003;100146+284656;10 01 46.73;+28 46 56.5;0.03;0.6;3411.8;115.4;;28.2;<;18.4;P*
150.4680417;28.791694399999997;100152+284730;10 01 52.33;+28 47 30.1;0.03;0.6;2185.2;75.3;;57.9;;16.9;P*
151.50725;34.902888899999994;100601+345410;10 06 01.74;+34 54 10.4;0.04;0.6;3236.6;97.1;<;15.7;<;15.4;
152.0001667;7.5045;100800+073016;10 08 00.04;+07 30 16.2;0.03;0.6;6522.1;195.7;<;18.7;<;15.3;
152.7515;6.4111667;101100+062440;10 11 00.36;+06 24 40.2;0.03;0.6;2964.2;88.9;<;18.5;<;17.6;
154.5384583;-31.737638899999997;101809-314415;10 18 09.23;-31 44 15.5;0.04;0.6;3861.6;135.7;;16.0;<;16.0;
160.4125417;2.7091667;104139+024233;10 41 39.01;+02 42 33.0;0.03;0.6;2710.1;81.3;<;17.0;<;15.7;
160.68558330000002;12.058833300000002;104244+120331;10 42 44.54;+12 03 31.8;0.03;0.6;3305.7;99.2;<;17.9;<;17.5;
164.57275;19.8693056;105817+195209;10 58 17.46;+19 52 09.5;0.03;0.6;2143.0;75.4;;15.4;<;18.1;
164.62341669999998;1.5661667;105829+013358;10 58 29.62;+01 33 58.2;0.03;0.6;3220.2;96.6;<;19.6;<;18.8;
164.74454169999998;43.02325;105858+430123;10 58 58.69;+43 01 23.7;0.04;0.6;2875.1;86.3;<;18.8;<;13.9;
165.51629169999998;-1.27175;110203-011618;11 02 03.91;-01 16 18.3;0.03;0.6;2799.6;96.2;;23.1;<;14.4;
166.5924167;-21.150222199999998;110622-210900;11 06 22.18;-21 09 00.8;0.03;0.6;2524.8;75.7;<;18.8;<;16.1;P*
168.660125;40.6224444;111438+403720;11 14 38.43;+40 37 20.8;0.04;0.6;3127.9;109.5;;17.1;<;18.1;
170.115875;14.348444400000002;112027+142054;11 20 27.81;+14 20 54.4;0.03;0.6;2446.9;73.4;<;18.7;<;17.1;P*
171.48166669999998;-35.3894722;112555-352322;11 25 55.60;-35 23 22.1;0.04;0.6;2119.9;64.7;;112.5;;78.6;P*
172.529375;-14.824222199999998;113007-144927;11 30 07.05;-14 49 27.2;0.03;0.6;5622.2;198.5;;14.2;<;17.4;P*
174.7945417;-13.84525;113910-135042;11 39 10.69;-13 50 42.9;0.03;0.6;4224.7;148.5;;15.9;<;17.5;
175.28429169999998;1.23825;114108+011417;11 41 08.23;+01 14 17.7;0.03;0.6;2690.8;80.7;<;19.1;<;17.1;
175.39391669999998;-28.847805600000004;114134-285052;11 41 34.54;-28 50 52.1;0.03;0.6;2570.7;90.8;;14.2;<;19.1;P*
175.8543333;22.1155556;114325+220656;11 43 25.04;+22 06 56.0;0.03;0.6;3128.7;93.9;<;19.0;<;17.6;
176.2717917;19.6105;114505+193637;11 45 05.23;+19 36 37.8;0.03;0.6;3512.4;118.8;;49.2;;32.6;P*
177.6828333;-0.3984167;115043-002354;11 50 43.88;-00 23 54.3;0.03;0.6;2773.9;97.8;;14.9;<;16.5;P*
178.59066669999999;-35.0915;115421-350529;11 54 21.76;-35 05 29.4;0.04;0.6;6196.1;185.9;<;17.5;<;15.7;
179.0780833;31.468055600000003;115618+312805;11 56 18.74;+31 28 05.0;0.04;0.6;2978.3;89.4;<;16.8;<;16.3;
181.008875;-4.3788611;120402-042243;12 04 02.13;-04 22 43.9;0.03;0.6;2141.3;74.0;;21.4;<;16.7;
184.813875;5.8278889000000005;121915+054940;12 19 15.33;+05 49 40.4;0.03;0.6;4066.7;124.0;;106.6;;81.7;P*
184.896125;5.8309444;121935+054951;12 19 35.07;+05 49 51.4;0.03;0.6;4581.1;138.9;;127.3;;89.9;P*
185.14116669999999;33.719694399999995;122033+334310;12 20 33.88;+33 43 10.9;0.04;0.6;2845.9;85.4;<;19.0;<;16.8;P*
186.22758330000002;21.379777800000003;122454+212247;12 24 54.62;+21 22 47.2;0.03;0.6;2094.4;73.9;;14.7;<;18.8;P*
