image,center-ra,center-dec,radius,rms
C0032M12.fits,8.0,-11.983333332228966,2.1546864919278916,0.000459528680371225
C0032M16.fits,8.0,-15.983333332228966,2.154686491927892,0.0004753456671508861
C0032M20.fits,8.0,-19.983333332228966,2.154686491927884,0.00043473772821971276
C0032M24.fits,8.0,-23.983333332228966,2.1546864919278907,0.0004596547385503564
C0032M28.fits,8.0,-27.983333332228966,2.1546864919278907,0.0005361579514771102
C0032P00.fits,8.0,0.016666667771033872,2.1546864919278903,0.0005567851481044155
C0032P04.fits,8.0,4.016666667771034,2.15468649192789,0.0005280673846753161
C0032P08.fits,8.0,8.016666667771034,2.1546864919278907,0.0004943606928277462
C0032P12.fits,8.0,12.016666667771034,2.1546864919278907,0.0005592426082352494
C0032P16.fits,8.0,16.016666667771034,2.154686491927894,0.00042858126051790367
C0032P20.fits,8.0,20.016666667771034,2.154686491927887,0.0005113951099862789
C0032P24.fits,8.0,24.016666667771034,2.1546864919278934,0.0004399240514831315
C0032P28.fits,8.0,28.016666667771034,2.154686491927894,0.0004694463707608287
C0036M32.fits,9.0,-31.983333332228966,2.1546864919278903,0.000543251548028656
C0036M36.fits,9.0,-35.983333332228966,2.154686491927894,0.0004772485531174109
C0036P32.fits,9.0,32.016666667771034,2.1546864919278903,0.0005568353355103689
C0036P36.fits,9.0,36.016666667771034,2.1546864919278907,0.0005136205426169515
C0036P68.fits,9.0,68.01666666777103,2.1546864919278907,0.00048820314338014585
C0040M40.fits,10.0,-39.983333332228966,2.1546864919278907,0.000505574278434181
C0040P40.fits,10.0,40.016666667771034,2.154686491927894,0.0006513634342159665
C0040P44.fits,10.0,44.016666667771034,2.154686491927887,0.0004969385388472938
C0040P48.fits,10.0,48.016666667771034,2.1546864919278903,0.0004837516660742151
C0045P72.fits,11.25,72.01666666777103,2.154686491927894,0.00046272511387861074
C0045P76.fits,11.25,76.01666666777103,2.1546864919278916,0.000492699404672943
C0048M04.fits,12.0,-3.983333332228966,2.15468649192789,0.0005564954258878643
C0048M08.fits,12.0,-7.983333332228966,2.15468649192789,0.0005921858552598178
C0048M12.fits,12.0,-11.983333332228966,2.1546864919278916,0.0004286243345664331
C0048M16.fits,12.0,-15.983333332228966,2.154686491927892,0.00041864984792760806
C0048M20.fits,12.0,-19.983333332228966,2.154686491927884,0.0004255102052152149
C0048M24.fits,12.0,-23.983333332228966,2.1546864919278907,0.0004055704461320185
