image,center-ra,center-dec,radius,rms
J0030M64.FITS,7.506971095925647,-64.00339944997233,2.1516146289377476,0.0015535320118249243
J0036M32.FITS,9.003603158418631,-32.00288298784689,2.151614628937395,0.0022258445624682905
J0036M36.FITS,9.00377712337494,-36.005198362414426,2.1516146289395306,0.0020057129014261197
J0036M68.FITS,9.008157866553901,-68.00329532113875,2.151614628937683,0.0012578227816159775
J0040M40.FITS,10.003989022210805,-40.00475353221658,2.1516146289390266,0.002007173452719517
J0040M44.FITS,10.00424787954701,-44.00219924380853,2.1516146289369806,0.0018196536497970875
J0040M48.FITS,10.004566638104173,-48.002055737290405,2.1516146289369056,0.0016524769815266253
J0045M72.FITS,11.259888838704128,-72.00160614984274,2.151614628936736,0.0015234385135777405
J0045M76.FITS,11.262633123701628,-76.00314877034944,2.151614628937566,0.0013726785844999877
J0048M52.FITS,12.004963474866283,-52.003877451367146,2.15161462893816,0.0011339719584854172
J0048M56.FITS,12.005464745654283,-56.00368554515224,2.151614628937989,0.0010054887497922239
J0054M32.FITS,13.503603158418631,-32.00288298784689,2.151614628937395,0.0023474171218159775
J0054M36.FITS,13.50377712337494,-36.005198362414426,2.1516146289395306,0.0017847898900664487
J0100M40.FITS,15.003989022210805,-40.00475353221658,2.1516146289390266,0.0019731859890679904
J0100M44.FITS,15.00424787954701,-44.00219924380853,2.151614628936981,0.0017110988493465994
J0100M48.FITS,15.004566638104173,-48.002055737290405,2.1516146289369056,0.0012416471594891671
J0100M60.FITS,15.00611176298281,-60.00352811051228,2.151614628937869,0.0012865690240186378
J0100M64.FITS,15.006971095925648,-64.00339944997233,2.1516146289377485,0.0012074932277367414
J0100M80.FITS,15.017598945047965,-80.00155088407055,2.1516146289367066,0.0016018823791373272
J0112M32.FITS,18.00360315841863,-32.00288298784689,2.151614628937395,0.0026335468096568572
J0112M36.FITS,18.003777123374938,-36.005198362414426,2.1516146289395297,0.0018471266939712506
J0112M52.FITS,18.004963474866283,-52.003877451367146,2.15161462893816,0.0014461894122769262
J0112M56.FITS,18.005464745654283,-56.00368554515224,2.151614628937989,0.0013031418339952887
J0112M68.FITS,18.0081578665539,-68.00329532113875,2.151614628937683,0.0013607728683255212
J0120M40.FITS,20.003989022210806,-40.00475353221658,2.1516146289390266,0.0019223506676725032
J0120M44.FITS,20.004247879547012,-44.00219924380853,2.151614628936983,0.0016384966997590078
J0120M48.FITS,20.004566638104173,-48.002055737290405,2.1516146289369056,0.001375607584418325
J0130M32.FITS,22.50360315841863,-32.00288298784689,2.151614628937395,0.0023956475119636606
J0130M36.FITS,22.503777123374938,-36.005198362414426,2.1516146289395275,0.0020375513837952077
J0130M60.FITS,22.506111762982812,-60.00352811051228,2.151614628937871,0.001296194153435169
J0130M64.FITS,22.506971095925646,-64.00339944997233,2.1516146289377476,0.001181117576366641
J0130M72.FITS,22.50988883870413,-72.00160614984274,2.1516146289367355,0.0014896068924258815
J0130M76.FITS,22.51263312370163,-76.00314877034944,2.1516146289375673,0.0017792425659938662
J0130M84.FITS,22.529239260368442,-84.00153541781847,2.1516146289366973,0.0010773323880931916
J0136M52.FITS,24.004963474866283,-52.003877451367146,2.15161462893816,0.0014316483618782912
J0136M56.FITS,24.005464745654283,-56.00368554515224,2.151614628937989,0.0013668454257827266
J0140M40.FITS,25.003989022210806,-40.00475353221658,2.1516146289390266,0.0015842967472409512
J0140M44.FITS,25.004247879547012,-44.00219924380853,2.151614628936983,0.001242074182161796
J0140M48.FITS,25.004566638104173,-48.002055737290405,2.1516146289369056,0.0015734989533889058
J0148M32.FITS,27.00360315841863,-32.00288298784689,2.151614628937395,0.002945286086000953
J0148M36.FITS,27.003777123374938,-36.005198362414426,2.1516146289395275,0.0020823966536037642
J0148M68.FITS,27.0081578665539,-68.00329532113875,2.151614628937683,0.0011694843891047252
J0200M40.FITS,30.003989022210806,-40.00475353221658,2.1516146289390266,0.0014698086873625193
J0200M44.FITS,30.004247879547012,-44.00219924380853,2.151614628936983,0.0021925539913965515
J0200M48.FITS,30.004566638104173,-48.002055737290405,2.1516146289369056,0.0011968548859852006
J0200M52.FITS,30.004963474866283,-52.003877451367146,2.15161462893816,0.0013174787937054525
